nom,arrondissement,id,id_uev,type,adresse,propriete,gestion,coord_x,coord_y,equipement,long,lat
" Jeux d'eau""",Pataugeoire Ahuntsic,1,1,1,1,1,1,1,1,1,1,1
" Jeux d'eau""",Pataugeoire de Mésy,1,1,1,1,1,1,1,1,1,1,1
" Jeux d'eau""",Piscine Marcelin-Wilson,1,1,1,1,1,1,1,1,1,1,1
Bain Lévesque,Le Plateau-Mont-Royal,1,1,1,1,1,1,1,1,1,1,1
Bain Morgan,Mercier–Hochelaga-Maisonneuve,1,1,1,1,1,1,1,1,1,1,1
Bain Quintal,Ville-Marie,1,1,1,1,1,1,1,1,1,1,1
Bain Schubert,Le Plateau-Mont-Royal,1,1,1,1,1,1,1,1,1,1,1
Bain St-Denis,Rosemont–La Petite-Patrie,1,1,1,1,1,1,1,1,1,1,1
Bain Émard,Le Sud-Ouest,1,1,1,1,1,1,1,1,1,1,1
Centre Rosemont,Rosemont–La Petite-Patrie,1,1,1,1,1,1,1,1,1,1,1
Centre aquatique Rivières-des-Prairies,Rivière-des-Prairies–Pointe-aux-Trembles,1,1,1,1,1,1,1,1,1,1,1
Centre communautaire Notre-Dame-de-Grâce,Côte-des-Neiges–Notre-Dame-de-Grâce,1,1,1,1,1,1,1,1,1,1,1
Centre du Plateau,Le Plateau-Mont-Royal,1,1,1,1,1,1,1,1,1,1,1
Centre sportif Côte-des-Neiges,Côte-des-Neiges–Notre-Dame-de-Grâce,1,1,1,1,1,1,1,1,1,1,1
Centre sportif Petite-Bourgogne,Le Sud-Ouest,1,1,1,1,1,1,1,1,1,1,1
Centre sportif Père-Marquette,Rosemont–La Petite-Patrie,1,1,1,1,1,1,1,1,1,1,1
Centre sportif St-Charles,Le Sud-Ouest,1,1,1,1,1,1,1,1,1,1,1
Centre sportif de Notre-Dame-de-Grâce,Côte-des-Neiges–Notre-Dame-de-Grâce,1,1,1,1,1,1,1,1,1,1,1
Complexe aquatique – Société du parc Jean-Drapeau,Ville-Marie,1,1,1,1,1,1,1,1,1,1,1
Complexe sportif Claude-Robillard,Ahuntsic-Cartierville,1,1,1,1,1,1,1,1,1,1,1
Complexe sportif Gadbois,Le Sud-Ouest,1,1,1,1,1,1,1,1,1,1,1
De la Louisiane,Rosemont–La Petite-Patrie,1,1,1,1,1,1,1,1,1,1,1
Gabriel-Lalemant,Ahuntsic-Cartierville,1,1,1,1,1,1,1,1,1,1,1
Georges-Vernot,Villeray–Saint-Michel–Parc-Extension,1,1,1,1,1,1,1,1,1,1,1
Hochelaga,Mercier–Hochelaga-Maisonneuve,1,1,1,1,1,1,1,1,1,1,1
Jean-Claude-Malépart,Ville-Marie,1,1,1,1,1,1,1,1,1,1,1
Jeux d'eau Howard,Villeray–Saint-Michel–Parc-Extension,1,1,1,1,1,1,1,1,1,1,1
Jeux d'eau Saint-Alphonse,Ahuntsic-Cartierville,1,1,1,1,1,1,1,1,1,1,1
Jeux d'eau Saint-Jacques,Ville-Marie,1,1,1,1,1,1,1,1,1,1,1
Jeux d'eau St-André-Apôtre,Ahuntsic-Cartierville,1,1,1,1,1,1,1,1,1,1,1
Jeux d'eau St-Benoit,Ahuntsic-Cartierville,1,1,1,1,1,1,1,1,1,1,1
Jeux d'eau St-Simon-Apôtre,Ahuntsic-Cartierville,1,1,1,1,1,1,1,1,1,1,1
Jeux d'eau de l'Estre,Villeray–Saint-Michel–Parc-Extension,1,1,1,1,1,1,1,1,1,1,1
Jeux d'eau des Hirondelles,Ahuntsic-Cartierville,1,1,1,1,1,1,1,1,1,1,1
Joseph-Charbonneau,Villeray–Saint-Michel–Parc-Extension,1,1,1,1,1,1,1,1,1,1,1
Léon-Provencher,Rosemont–La Petite-Patrie,1,1,1,1,1,1,1,1,1,1,1
L’Aquadôme LaSalle,LaSalle,1,1,1,1,1,1,1,1,1,1,1
Maisonneuve,Mercier–Hochelaga-Maisonneuve,1,1,1,1,1,1,1,1,1,1,1
Marcelin-Wilson,Ahuntsic-Cartierville,1,1,1,1,1,1,1,1,1,1,1
NOM,ARRONDISSE,1,1,1,1,1,1,1,1,1,1,1
Natatorium de Verdun,Verdun,2,2,2,2,2,2,2,2,2,2,2
Olivier-Robert,Ville-Marie,1,1,1,1,1,1,1,1,1,1,1
Ovila-Légaré,Villeray–Saint-Michel–Parc-Extension,1,1,1,1,1,1,1,1,1,1,1
Parc Alexis-Carrel,Rivière-des-Prairies–Pointe-aux-Trembles,1,1,1,1,1,1,1,1,1,1,1
Parc Alexis-Nihon,Saint-Laurent,1,1,1,1,1,1,1,1,1,1,1
Parc Alphonse-Télesphore-Lépine,Le Plateau-Mont-Royal,1,1,1,1,1,1,1,1,1,1,1
Parc André-Laurendeau,Anjou,1,1,1,1,1,1,1,1,1,1,1
Parc Arthur-Therrien,Verdun,3,3,3,3,3,3,3,3,3,3,3
Parc Baldwin,Le Plateau-Mont-Royal,1,1,1,1,1,1,1,1,1,1,1
Parc Beaubien,Rosemont–La Petite-Patrie,1,1,1,1,1,1,1,1,1,1,1
Parc Beauclerk,Mercier–Hochelaga-Maisonneuve,1,1,1,1,1,1,1,1,1,1,1
Parc Beaulac,Saint-Laurent,1,1,1,1,1,1,1,1,1,1,1
Parc Benny,Côte-des-Neiges–Notre-Dame-de-Grâce,1,1,1,1,1,1,1,1,1,1,1
Parc Bocage,Anjou,1,1,1,1,1,1,1,1,1,1,1
Parc Boivin,LaSalle,1,1,1,1,1,1,1,1,1,1,1
Parc Bourbonnière,Saint-Laurent,2,2,2,2,2,2,2,2,2,2,2
Parc Bélair,Villeray–Saint-Michel–Parc-Extension,1,1,1,1,1,1,1,1,1,1,1
Parc Campbell-Centre,Le Sud-Ouest,1,1,1,1,1,1,1,1,1,1,1
Parc Campbell-Ouest,Le Sud-Ouest,1,1,1,1,1,1,1,1,1,1,1
Parc Carignan,Lachine,1,1,1,1,1,1,1,1,1,1,1
Parc Chamberland,Saint-Laurent,2,2,2,2,2,2,2,2,2,2,2
Parc Champdoré,Villeray–Saint-Michel–Parc-Extension,1,1,1,1,1,1,1,1,1,1,1
Parc Charleroi,Montréal-Nord,1,1,1,1,1,1,1,1,1,1,1
Parc Chénier,Anjou,1,1,1,1,1,1,1,1,1,1,1
Parc Cité-Jardin,Rosemont–La Petite-Patrie,1,1,1,1,1,1,1,1,1,1,1
Parc Clark,Le Plateau-Mont-Royal,1,1,1,1,1,1,1,1,1,1,1
Parc Cooney,Verdun,1,1,1,1,1,1,1,1,1,1,1
Parc Coubertin,Saint-Léonard,1,1,1,1,1,1,1,1,1,1,1
Parc Dalmany,LaSalle,1,1,1,1,1,1,1,1,1,1,1
Parc De Gaspé,Rosemont–La Petite-Patrie,1,1,1,1,1,1,1,1,1,1,1
Parc De L’Ukraine,Rosemont–La Petite-Patrie,1,1,1,1,1,1,1,1,1,1,1
Parc De Normanville,Villeray–Saint-Michel–Parc-Extension,1,1,1,1,1,1,1,1,1,1,1
Parc De Sienne,Villeray–Saint-Michel–Parc-Extension,1,1,1,1,1,1,1,1,1,1,1
Parc Decelles,Saint-Laurent,3,3,3,3,3,3,3,3,3,3,3
Parc Delorme,Saint-Léonard,1,1,1,1,1,1,1,1,1,1,1
Parc Des Pins,Rivière-des-Prairies–Pointe-aux-Trembles,1,1,1,1,1,1,1,1,1,1,1
Parc Dixie,Lachine,1,1,1,1,1,1,1,1,1,1,1
Parc Dollard-Morin,Rivière-des-Prairies–Pointe-aux-Trembles,1,1,1,1,1,1,1,1,1,1,1
Parc Duff-Court,Lachine,1,1,1,1,1,1,1,1,1,1,1
Parc Duquette,Verdun,1,1,1,1,1,1,1,1,1,1,1
Parc Elgar,Verdun,2,2,2,2,2,2,2,2,2,2,2
Parc Eugène-D’Ostie,L'Île-Bizard–Sainte-Geneviève,1,1,1,1,1,1,1,1,1,1,1
Parc Ferland,Saint-Léonard,1,1,1,1,1,1,1,1,1,1,1
Parc François-Perrault,Villeray–Saint-Michel–Parc-Extension,2,2,2,2,2,2,2,2,2,2,2
Parc G. Garibaldi,Saint-Léonard,1,1,1,1,1,1,1,1,1,1,1
Parc Georges-Saint-Pierre,Côte-des-Neiges–Notre-Dame-de-Grâce,1,1,1,1,1,1,1,1,1,1,1
Parc Gilles-Lefebvre,Le Plateau-Mont-Royal,1,1,1,1,1,1,1,1,1,1,1
Parc Gohier,Saint-Laurent,1,1,1,1,1,1,1,1,1,1,1
Parc Goulet,Saint-Laurent,1,1,1,1,1,1,1,1,1,1,1
Parc Harris,Saint-Laurent,1,1,1,1,1,1,1,1,1,1,1
Parc Hartenstein,Saint-Laurent,3,3,3,3,3,3,3,3,3,3,3
Parc Haymard,LaSalle,1,1,1,1,1,1,1,1,1,1,1
Parc Henri-Bourassa,Montréal-Nord,1,1,1,1,1,1,1,1,1,1,1
Parc Hochelaga,Mercier–Hochelaga-Maisonneuve,1,1,1,1,1,1,1,1,1,1,1
Parc Houde,Saint-Laurent,1,1,1,1,1,1,1,1,1,1,1
Parc Howard,Villeray–Saint-Michel–Parc-Extension,1,1,1,1,1,1,1,1,1,1,1
Parc Hébert,Saint-Léonard,1,1,1,1,1,1,1,1,1,1,1
Parc Ignace-Bourget,Le Sud-Ouest,2,2,2,2,2,2,2,2,2,2,2
Parc J.D. Ducharme,LaSalle,1,1,1,1,1,1,1,1,1,1,1
Parc J.O.R.-Leduc,LaSalle,1,1,1,1,1,1,1,1,1,1,1
Parc Jacques-Blanchet,Mercier–Hochelaga-Maisonneuve,1,1,1,1,1,1,1,1,1,1,1
Parc Jarry,Villeray–Saint-Michel–Parc-Extension,2,2,2,2,2,2,2,2,2,2,2
Parc Jean-Amyot,Mercier–Hochelaga-Maisonneuve,1,1,1,1,1,1,1,1,1,1,1
Parc Jean-Brillant,Côte-des-Neiges–Notre-Dame-de-Grâce,1,1,1,1,1,1,1,1,1,1,1
Parc Jean-Duceppe,Rosemont–La Petite-Patrie,1,1,1,1,1,1,1,1,1,1,1
Parc Jeanne-Mance,Le Plateau-Mont-Royal,1,1,1,1,1,1,1,1,1,1,1
Parc Jeannotte,LaSalle,1,1,1,1,1,1,1,1,1,1,1
Parc Joanette,Verdun,1,1,1,1,1,1,1,1,1,1,1
Parc John-F-Kennedy,Outremont,1,1,1,1,1,1,1,1,1,1,1
Parc Joseph-Paré,Rosemont–La Petite-Patrie,2,2,2,2,2,2,2,2,2,2,2
Parc Kirkland,Lachine,1,1,1,1,1,1,1,1,1,1,1
Parc L.-O.-Taillon,Mercier–Hochelaga-Maisonneuve,1,1,1,1,1,1,1,1,1,1,1
Parc La Fontaine est,Le Plateau-Mont-Royal,1,1,1,1,1,1,1,1,1,1,1
Parc La Fontaine ouest,Le Plateau-Mont-Royal,1,1,1,1,1,1,1,1,1,1,1
Parc Lacharité,LaSalle,1,1,1,1,1,1,1,1,1,1,1
Parc Lacordaire,Montréal-Nord,1,1,1,1,1,1,1,1,1,1,1
Parc Ladauversière,Saint-Léonard,1,1,1,1,1,1,1,1,1,1,1
Parc Lafond,Rosemont–La Petite-Patrie,1,1,1,1,1,1,1,1,1,1,1
Parc Lasalle,Lachine,1,1,1,1,1,1,1,1,1,1,1
Parc Lasalle 1,Lachine,1,1,1,1,1,1,1,1,1,1,1
Parc Laurier-Charlemagne,Rosemont–La Petite-Patrie,1,1,1,1,1,1,1,1,1,1,1
Parc Lawrence,LaSalle,1,1,1,1,1,1,1,1,1,1,1
Parc Le Ber,Le Sud-Ouest,1,1,1,1,1,1,1,1,1,1,1
Parc Le Carignan,Montréal-Nord,1,1,1,1,1,1,1,1,1,1,1
Parc Le Pélican,Rosemont–La Petite-Patrie,1,1,1,1,1,1,1,1,1,1,1
Parc Lefebvre,LaSalle,1,1,1,1,1,1,1,1,1,1,1
Parc Leroux,LaSalle,1,1,1,1,1,1,1,1,1,1,1
Parc Liébert,Mercier–Hochelaga-Maisonneuve,1,1,1,1,1,1,1,1,1,1,1
Parc Louis-Cyr,Le Sud-Ouest,1,1,1,1,1,1,1,1,1,1,1
Parc Loyola,Côte-des-Neiges–Notre-Dame-de-Grâce,1,1,1,1,1,1,1,1,1,1,1
Parc Lucie-Bruneau,Anjou,1,1,1,1,1,1,1,1,1,1,1
Parc Luigi Pirandello,Saint-Léonard,1,1,1,1,1,1,1,1,1,1,1
Parc L’orée du Fleuve,Verdun,1,1,1,1,1,1,1,1,1,1,1
Parc Mackenzie-King,Côte-des-Neiges–Notre-Dame-de-Grâce,1,1,1,1,1,1,1,1,1,1,1
Parc Malborough,Saint-Laurent,1,1,1,1,1,1,1,1,1,1,1
Parc Marcelle-Barthe,Ville-Marie,1,1,1,1,1,1,1,1,1,1,1
Parc Maria-Goretti,Rivière-des-Prairies–Pointe-aux-Trembles,1,1,1,1,1,1,1,1,1,1,1
Parc Marie-Coron,Rivière-des-Prairies–Pointe-aux-Trembles,1,1,1,1,1,1,1,1,1,1,1
Parc Marlborough,Saint-Laurent,2,2,2,2,2,2,2,2,2,2,2
Parc McDonald,Côte-des-Neiges–Notre-Dame-de-Grâce,1,1,1,1,1,1,1,1,1,1,1
Parc Mgr J.A. Richard,Verdun,1,1,1,1,1,1,1,1,1,1,1
Parc Montmartre,Rivière-des-Prairies–Pointe-aux-Trembles,1,1,1,1,1,1,1,1,1,1,1
Parc Monty,Montréal-Nord,1,1,1,1,1,1,1,1,1,1,1
Parc Morgan,Mercier–Hochelaga-Maisonneuve,1,1,1,1,1,1,1,1,1,1,1
Parc Médéric-Martin,Ville-Marie,1,1,1,1,1,1,1,1,1,1,1
Parc Ménard,LaSalle,2,2,2,2,2,2,2,2,2,2,2
Parc Ménard,Montréal-Nord,1,1,1,1,1,1,1,1,1,1,1
Parc Nelson Mandela,Côte-des-Neiges–Notre-Dame-de-Grâce,1,1,1,1,1,1,1,1,1,1,1
Parc Nicolas-Tillemont,Villeray–Saint-Michel–Parc-Extension,1,1,1,1,1,1,1,1,1,1,1
Parc Normand Dawe,Verdun,1,1,1,1,1,1,1,1,1,1,1
Parc Notre-Dame-de-Grâce,Côte-des-Neiges–Notre-Dame-de-Grâce,1,1,1,1,1,1,1,1,1,1,1
Parc Noël-Nord,Saint-Laurent,3,3,3,3,3,3,3,3,3,3,3
Parc Oscar,Montréal-Nord,1,1,1,1,1,1,1,1,1,1,1
Parc Ottawa,Montréal-Nord,2,2,2,2,2,2,2,2,2,2,2
Parc Ouelette,LaSalle,1,1,1,1,1,1,1,1,1,1,1
Parc Ouellette (natation et récréatif),LaSalle,1,1,1,1,1,1,1,1,1,1,1
Parc Painter,Saint-Laurent,3,3,3,3,3,3,3,3,3,3,3
Parc Persillier-Lachapelle,Ville-Marie,1,1,1,1,1,1,1,1,1,1,1
Parc Peterborough,Anjou,1,1,1,1,1,1,1,1,1,1,1
Parc Pie XII,Saint-Léonard,1,1,1,1,1,1,1,1,1,1,1
Parc Pierre-Bernard,Mercier–Hochelaga-Maisonneuve,1,1,1,1,1,1,1,1,1,1,1
Parc Pierre-Blanchet,Rivière-des-Prairies–Pointe-aux-Trembles,1,1,1,1,1,1,1,1,1,1,1
Parc Pierre-Bédard,Mercier–Hochelaga-Maisonneuve,1,1,1,1,1,1,1,1,1,1,1
Parc Pilon,Montréal-Nord,1,1,1,1,1,1,1,1,1,1,1
Parc Poirier,Saint-Laurent,1,1,1,1,1,1,1,1,1,1,1
Parc Poirier,Verdun,1,1,1,1,1,1,1,1,1,1,1
Parc Primeau,Montréal-Nord,1,1,1,1,1,1,1,1,1,1,1
Parc Père-Marquette,LaSalle,1,1,1,1,1,1,1,1,1,1,1
Parc Père-Marquette,Rosemont–La Petite-Patrie,1,1,1,1,1,1,1,1,1,1,1
Parc Raymond,LaSalle,1,1,1,1,1,1,1,1,1,1,1
